0.104489796,271.654,0.359909297
0.522448980,275.289,0.249614512
0.824308390,246.06,0.092879819
1.352562358,258.662,0.058049887
1.462857143,258.206,0.081269841
1.561541950,261.75,0.220589569
2.072380952,486.43,0.017414966
2.101405896,477.23,0.121904762
2.229115646,506.45,0.023219955
2.258140590,524.794,0.197369615
2.461315193,523.243,0.464399093
2.931519274,468.03,0.065306122
3.000453515,458.639,0.238730159
3.244988662,415.214,0.806893424
4.202811791,398.208,0.121904762
4.353741497,391.147,0.824308390
5.189659864,374.132,0.040634921
5.236099773,349.611,0.452789116
5.810793651,350.5,0.110294785
5.921088435,312.296,0.069659864
6.077823129,321.909,0.087074830
